DateTime,demand_forecast (avg) (california_iso) (mw),conversion,avg demand kw,demand_forecast (sum) (california_iso)
8/23/2021 1:00,3107.231,1000,3107231,80788
8/23/2021 2:00,3029.038,1000,3029038,78755
8/23/2021 3:00,3016.692,1000,3016692,78434
8/23/2021 4:00,3092.385,1000,3092385,80402
8/23/2021 5:00,3258.692,1000,3258692,84726
8/23/2021 6:00,3459,1000,3459000,89934
8/23/2021 7:00,3620.346,1000,3620346,94129
8/23/2021 8:00,3753.269,1000,3753269,97585
8/23/2021 9:00,3875.538,1000,3875538,100764
8/23/2021 10:00,3947.615,1000,3947615,102638
8/23/2021 11:00,4002.769,1000,4002769,104072
8/23/2021 12:00,4105.692,1000,4105692,106748
8/23/2021 13:00,4234.038,1000,4234038,110085
8/23/2021 14:00,4393.5,1000,4393500,114231
8/23/2021 15:00,4562.962,1000,4562962,118637
8/23/2021 16:00,4709.769,1000,4709769,122454
8/23/2021 17:00,4772,1000,4772000,124072
8/23/2021 18:00,4718.423,1000,4718423,122679
8/23/2021 19:00,4615.577,1000,4615577,120005
8/23/2021 20:00,4480.885,1000,4480885,116503
8/23/2021 21:00,4214,1000,4214000,109564
8/23/2021 22:00,3874.692,1000,3874692,100742
8/23/2021 23:00,3593.385,1000,3593385,93428
8/24/2021 1:00,3239.538,1000,3239538,84228
8/24/2021 2:00,3149.269,1000,3149269,81881
8/24/2021 3:00,3123.846,1000,3123846,81220
8/24/2021 4:00,3184.385,1000,3184385,82794
8/24/2021 5:00,3335.462,1000,3335462,86722
8/24/2021 6:00,3518.423,1000,3518423,91479
8/24/2021 7:00,3659.192,1000,3659192,95139
8/24/2021 8:00,3779.385,1000,3779385,98264
8/24/2021 9:00,3868.385,1000,3868385,100578
8/24/2021 10:00,3966.769,1000,3966769,103136
8/24/2021 11:00,4066.423,1000,4066423,105727
8/24/2021 12:00,4202.154,1000,4202154,109256
8/24/2021 13:00,4354.923,1000,4354923,113228
8/24/2021 14:00,4549.769,1000,4549769,118294
8/24/2021 15:00,4732.923,1000,4732923,123056
8/24/2021 16:00,4878.808,1000,4878808,126849
8/24/2021 17:00,4932.462,1000,4932462,128244
8/24/2021 18:00,4863.769,1000,4863769,126458
8/24/2021 19:00,4740.038,1000,4740038,123241
8/24/2021 20:00,4588.692,1000,4588692,119306
8/24/2021 21:00,4309.769,1000,4309769,112054
8/24/2021 22:00,3962.5,1000,3962500,103025
8/24/2021 23:00,3659.885,1000,3659885,95157
8/25/2021 1:00,3295.923,1000,3295923,85694
8/25/2021 2:00,3210.846,1000,3210846,83482
8/25/2021 3:00,3194.538,1000,3194538,83058
8/25/2021 4:00,3223.308,1000,3223308,83806
8/25/2021 5:00,3370.423,1000,3370423,87631
8/25/2021 6:00,3555.115,1000,3555115,92433
8/25/2021 7:00,3709.692,1000,3709692,96452
8/25/2021 8:00,3867.077,1000,3867077,100544
8/25/2021 9:00,3986.462,1000,3986462,103648
8/25/2021 10:00,4082.192,1000,4082192,106137
8/25/2021 11:00,4195.269,1000,4195269,109077
8/25/2021 12:00,4378.154,1000,4378154,113832
8/25/2021 13:00,4612.769,1000,4612769,119932
8/25/2021 14:00,4859.462,1000,4859462,126346
8/25/2021 15:00,5065.846,1000,5065846,131712
8/25/2021 16:00,5224.808,1000,5224808,135845
8/25/2021 17:00,5258.154,1000,5258154,136712
8/25/2021 18:00,5169.077,1000,5169077,134396
8/25/2021 19:00,5009.692,1000,5009692,130252
8/25/2021 20:00,4822.423,1000,4822423,125383
8/25/2021 21:00,4515.385,1000,4515385,117400
8/25/2021 22:00,4141.846,1000,4141846,107688
8/25/2021 23:00,3823.808,1000,3823808,99419
8/26/2021 1:00,3427.346,1000,3427346,89111
8/26/2021 2:00,3322.192,1000,3322192,86377
8/26/2021 3:00,3262.231,1000,3262231,84818
8/26/2021 4:00,3305.038,1000,3305038,85931
8/26/2021 5:00,3449.577,1000,3449577,89689
8/26/2021 6:00,3645.885,1000,3645885,94793
8/26/2021 7:00,3830.231,1000,3830231,99586
8/26/2021 8:00,4003.654,1000,4003654,104095
8/26/2021 9:00,4140.231,1000,4140231,107646
8/26/2021 10:00,4256.077,1000,4256077,110658
8/26/2021 11:00,4426.808,1000,4426808,115097
8/26/2021 12:00,4655.846,1000,4655846,121052
8/26/2021 13:00,4910.769,1000,4910769,127680
8/26/2021 14:00,5150.462,1000,5150462,133912
8/26/2021 15:00,5358.269,1000,5358269,139315
8/26/2021 16:00,5516.654,1000,5516654,143433
8/26/2021 17:00,5533.885,1000,5533885,143881
8/26/2021 18:00,5403.731,1000,5403731,140497
8/26/2021 19:00,5204.692,1000,5204692,135322
8/26/2021 20:00,4975.308,1000,4975308,129358
8/26/2021 21:00,4634.846,1000,4634846,120506
8/26/2021 22:00,4234.269,1000,4234269,110091
8/26/2021 23:00,3892.038,1000,3892038,101193
8/27/2021 1:00,3460.654,1000,3460654,89977
8/27/2021 2:00,3329.808,1000,3329808,86575
8/27/2021 3:00,3279.192,1000,3279192,85259
8/27/2021 4:00,3332.615,1000,3332615,86648
8/27/2021 5:00,3458.577,1000,3458577,89923
8/27/2021 6:00,3621.346,1000,3621346,94155
8/27/2021 7:00,3781.538,1000,3781538,98320
8/27/2021 8:00,3993.5,1000,3993500,103831
8/27/2021 9:00,4141.423,1000,4141423,107677
8/27/2021 10:00,4328.115,1000,4328115,112531
8/27/2021 11:00,4530.538,1000,4530538,117794
8/27/2021 12:00,4770.962,1000,4770962,124045
8/27/2021 13:00,5042.462,1000,5042462,131104
8/27/2021 14:00,5304.885,1000,5304885,137927
8/27/2021 15:00,5525.654,1000,5525654,143667
8/27/2021 16:00,5660.038,1000,5660038,147161
8/27/2021 17:00,5649.038,1000,5649038,146875
8/27/2021 18:00,5482.308,1000,5482308,142540
8/27/2021 19:00,5284.615,1000,5284615,137400
8/27/2021 20:00,5041.538,1000,5041538,131080
8/27/2021 21:00,4724.423,1000,4724423,122835
8/27/2021 22:00,4335.577,1000,4335577,112725
8/27/2021 23:00,4017.423,1000,4017423,104453
8/28/2021 1:00,3547.5,1000,3547500,92235
8/28/2021 2:00,3412.231,1000,3412231,88718
8/28/2021 3:00,3311.731,1000,3311731,86105
8/28/2021 4:00,3276.231,1000,3276231,85182
8/28/2021 5:00,3298.269,1000,3298269,85755
8/28/2021 6:00,3352.385,1000,3352385,87162
8/28/2021 7:00,3481.885,1000,3481885,90529
8/28/2021 8:00,3688.154,1000,3688154,95892
8/28/2021 9:00,3847.692,1000,3847692,100040
8/28/2021 10:00,4039.846,1000,4039846,105036
8/28/2021 11:00,4250.115,1000,4250115,110503
8/28/2021 12:00,4471.615,1000,4471615,116262
8/28/2021 13:00,4837.192,1000,4837192,125767
8/28/2021 14:00,4991.577,1000,4991577,129781
8/28/2021 15:00,5223.462,1000,5223462,135810
8/28/2021 16:00,5381.654,1000,5381654,139923
8/28/2021 17:00,5402.577,1000,5402577,140467
8/28/2021 18:00,5197.5,1000,5197500,135135
8/28/2021 19:00,5065.038,1000,5065038,131691
8/28/2021 20:00,4833.038,1000,4833038,125659
8/28/2021 21:00,4297.692,1000,4297692,111740
8/28/2021 22:00,4196.308,1000,4196308,109104
8/28/2021 23:00,3896.269,1000,3896269,101303
