DateTime,sys_load_rsrc (avg) (california_iso) (mw),conversion,avg_load_rsrc(kw),sys_load_rsrc (Caiso_Totals) (california_iso)
8/23/2021 1:00,7289.333,1000,7289333,21868
8/23/2021 2:00,7064.167,1000,7064167,21192
8/23/2021 3:00,6991.5,1000,6991500,20975
8/23/2021 4:00,7106.667,1000,7106667,21320
8/23/2021 5:00,7433.167,1000,7433167,22299
8/23/2021 6:00,7949.167,1000,7949167,23848
8/23/2021 7:00,8347.5,1000,8347500,25043
8/23/2021 8:00,8599.833,1000,8599833,25799
8/23/2021 9:00,8666,1000,8666000,25998
8/23/2021 10:00,8675.167,1000,8675167,26025
8/23/2021 11:00,8819,1000,8819000,26457
8/23/2021 12:00,9044.5,1000,9044500,27134
8/23/2021 13:00,9379,1000,9379000,28137
8/23/2021 14:00,9808.833,1000,9808833,29426
8/23/2021 15:00,10271.667,1000,10271667,30815
8/23/2021 16:00,10677.833,1000,10677833,32034
8/23/2021 17:00,10988.333,1000,10988333,32965
8/23/2021 18:00,10972.5,1000,10972500,32918
8/23/2021 19:00,10806.667,1000,10806667,32420
8/23/2021 20:00,10643.167,1000,10643167,31929
8/23/2021 21:00,10064.167,1000,10064167,30192
8/23/2021 22:00,9241.333,1000,9241333,27724
8/23/2021 23:00,8524.833,1000,8524833,25574
8/24/2021 1:00,7603.167,1000,7603167,22809
8/24/2021 2:00,7351.333,1000,7351333,22054
8/24/2021 3:00,7212.5,1000,7212500,21638
8/24/2021 4:00,7274.833,1000,7274833,21825
8/24/2021 5:00,7622.5,1000,7622500,22867
8/24/2021 6:00,8023.167,1000,8023167,24070
8/24/2021 7:00,8403.167,1000,8403167,25209
8/24/2021 8:00,8607.667,1000,8607667,25823
8/24/2021 9:00,8684.667,1000,8684667,26054
8/24/2021 10:00,8754.167,1000,8754167,26262
8/24/2021 11:00,8953.5,1000,8953500,26861
8/24/2021 12:00,9279,1000,9279000,27837
8/24/2021 13:00,9725.167,1000,9725167,29175
8/24/2021 14:00,10229,1000,10229000,30687
8/24/2021 15:00,10705.833,1000,10705833,32118
8/24/2021 16:00,11110.667,1000,11110667,33332
8/24/2021 17:00,11434,1000,11434000,34302
8/24/2021 18:00,11333.167,1000,11333167,33999
8/24/2021 19:00,11085.333,1000,11085333,33256
8/24/2021 20:00,10947.167,1000,10947167,32841
8/24/2021 21:00,10355,1000,10355000,31065
8/24/2021 22:00,9494.333,1000,9494333,28483
8/24/2021 23:00,8725.167,1000,8725167,26175
8/25/2021 1:00,7828.167,1000,7828167,23484
8/25/2021 2:00,7540.833,1000,7540833,22622
8/25/2021 3:00,7402.333,1000,7402333,22207
8/25/2021 4:00,7433.833,1000,7433833,22302
8/25/2021 5:00,7728.5,1000,7728500,23185
8/25/2021 6:00,8185.333,1000,8185333,24556
8/25/2021 7:00,8549.833,1000,8549833,25650
8/25/2021 8:00,8813.333,1000,8813333,26440
8/25/2021 9:00,8994.833,1000,8994833,26985
8/25/2021 10:00,9180.5,1000,9180500,27542
8/25/2021 11:00,9471.167,1000,9471167,28414
8/25/2021 12:00,9836.333,1000,9836333,29509
8/25/2021 13:00,10353.333,1000,10353333,31060
8/25/2021 14:00,10916.167,1000,10916167,32749
8/25/2021 15:00,11434.667,1000,11434667,34304
8/25/2021 16:00,11813.667,1000,11813667,35441
8/25/2021 17:00,12140.333,1000,12140333,36421
8/25/2021 18:00,12048.167,1000,12048167,36144
8/25/2021 19:00,11763.167,1000,11763167,35290
8/25/2021 20:00,11524.667,1000,11524667,34574
8/25/2021 21:00,10886.667,1000,10886667,32660
8/25/2021 22:00,9953.333,1000,9953333,29860
8/25/2021 23:00,9097.667,1000,9097667,27292
8/26/2021 1:00,8010,1000,8010000,24030
8/26/2021 2:00,7701.5,1000,7701500,23104
8/26/2021 3:00,7542.833,1000,7542833,22628
8/26/2021 4:00,7560,1000,7560000,22680
8/26/2021 5:00,7852,1000,7852000,23556
8/26/2021 6:00,8315.333,1000,8315333,24946
8/26/2021 7:00,8736,1000,8736000,26208
8/26/2021 8:00,9042,1000,9042000,27126
8/26/2021 9:00,9234.5,1000,9234500,27704
8/26/2021 10:00,9517.167,1000,9517167,28552
8/26/2021 11:00,9952.167,1000,9952167,29856
8/26/2021 12:00,10461.833,1000,10461833,31386
8/26/2021 13:00,11079.833,1000,11079833,33240
8/26/2021 14:00,11712.5,1000,11712500,35138
8/26/2021 15:00,12287.833,1000,12287833,36863
8/26/2021 16:00,12739.833,1000,12739833,38219
8/26/2021 17:00,13055,1000,13055000,39165
8/26/2021 18:00,12823,1000,12823000,38469
